prompt,code
"Flask में एक WebSocket का उपयोग करके रियल-टाइम नोटिफिकेशन भेजो","""# Using Flask-SocketIO\n@socketio.on('new_post_created')\ndef handle_new_post_notification(data):\n    emit('notification', {'message': 'A new post was created!'}, broadcast=True)"""
"पाइथन में UUID का उपयोग करके एक यूनिक आईडी जेनरेट करो","""import uuid\npublic_id = str(uuid.uuid4())"""
"ब्लॉग पोस्ट मॉडल में एक स्लग (slug) फील्ड जोड़ो","""slug = db.Column(db.String(120), unique=True, nullable=False, index=True)"""
"एक फंक्शन बनाओ जो टाइटल से एक स्लग जेनरेट करे","""import re\ndef slugify(text):\n    text = text.lower().strip()\n    text = re.sub(r'[^\\w\\s-]', '', text)\n    text = re.sub(r'[\\s_-]+', '-', text)\n    return text"""
"एक API बनाओ जो XML डेटा लौटाए (Jinja2 टेम्पलेट का उपयोग करके)","""@app.route('/feed.xml')\ndef get_xml_feed():\n    # ... get posts from db ...\n    return Response(render_template('feed.xml', posts=posts), mimetype='application/xml')"""
"एक Singleton डिजाइन पैटर्न का इम्प्लीमेंटेशन","class Singleton:\n    _instance = None\n    def __new__(cls):\n        if cls._instance is None:\n            print('Creating new instance')\n            cls._instance = super().__new__(cls)\n        return cls._instance"
"एक Factory मेथड डिजाइन पैटर्न का इम्प्लीमेंटेशन","class Dog: pass\nclass Cat: pass\ndef animal_factory(animal_type='dog'):\n    """A factory function for creating animal objects."""\n    if animal_type == 'dog': return Dog()\n    if animal_type == 'cat': return Cat()"
"एक Abstract Factory डिजाइन पैटर्न का ढाँचा","from abc import ABC, abstractmethod\nclass AbstractGuiFactory(ABC):\n    @abstractmethod\n    def create_button(self): pass\n    @abstractmethod\n    def create_checkbox(self): pass"
"एक Builder डिजाइन पैटर्न का ढाँचा","class Pizza: pass\nclass PizzaBuilder:\n    def add_dough(self): pass\n    def add_sauce(self): pass\n    def add_topping(self): pass\n    def build(self) -> Pizza: pass"
"एक Prototype डिजाइन पैटर्न का इम्प्लीमेंटेशन","import copy\nclass PrototypeRegistry:\n    def __init__(self):\n        self._objects = {}\n    def register(self, name, obj):\n        self._objects[name] = obj\n    def clone(self, name, **kwargs):\n        cloned_obj = copy.deepcopy(self._objects.get(name))\n        cloned_obj.__dict__.update(kwargs)\n        return cloned_obj"
"एक Adapter डिजाइन पैटर्न का ढाँचा","class OldSystem: # Adaptee\n    def legacy_request(self): return 'old'\n\nclass NewInterface: # Target\n    def request(self): pass\n\nclass Adapter(NewInterface):\n    def __init__(self, old_system: OldSystem):\n        self.old_system = old_system\n    def request(self):\n        return self.old_system.legacy_request()"
"एक Bridge डिजाइन पैटर्न का ढाँचा","class DrawingAPI: pass # Implementation Interface\nclass Shape: # Abstraction\n    def __init__(self, drawing_api: DrawingAPI): pass\n    def draw(self): pass"
"एक Composite डिजाइन पैटर्न का ढाँचा","class Graphic: # Component Interface\n    def render(self): pass\n\nclass CompositeGraphic(Graphic): # Composite\n    def __init__(self):\n        self.graphics = []\n    def add(self, graphic: Graphic): self.graphics.append(graphic)"
"एक Decorator डिजाइन पैटर्न का इम्प्लीमेंटेशन","def uppercase_decorator(function):\n    def wrapper():\n        return function().upper()\n    return wrapper\n\n@uppercase_decorator\ndef greet():\n    return 'hello'"
"एक Facade डिजाइन पैटर्न का ढाँचा","class ComputerFacade:\n    def __init__(self):\n        self.cpu = CPU()\n        self.memory = Memory()\n        self.hard_drive = HardDrive()\n    def start(self):\n        self.cpu.freeze()\n        self.memory.load(BOOT_ADDRESS, self.hard_drive.read(BOOT_SECTOR, SECTOR_SIZE))\n        self.cpu.jump(BOOT_ADDRESS)\n        self.cpu.execute()"
"एक Flyweight डिजाइन पैटर्न का कॉन्सेप्ट","// A pattern used to minimize memory usage or computational overhead by sharing as much data as possible with other similar objects. It is used when we need to create a large number of similar objects."
"एक Proxy डिजाइन पैटर्न का ढाँचा","class SubjectInterface: pass\nclass RealSubject(SubjectInterface): pass\nclass Proxy(SubjectInterface):\n    def __init__(self, real_subject: RealSubject):\n        self._real_subject = real_subject\n    def request(self):\n        # ... add extra logic like caching, logging, access control ...\n        return self._real_subject.request()"
"एक Chain of Responsibility डिजाइन पैटर्न का ढाँचा","from abc import ABC, abstractmethod\nclass Handler(ABC):\n    def __init__(self, successor=None):\n        self._successor = successor\n    @abstractmethod\n    def handle_request(self, request):\n        if self._successor:\n            self._successor.handle_request(request)"
"एक Command डिजाइन पैटर्न का ढाँचा","from abc import ABC, abstractmethod\nclass Command(ABC):\n    @abstractmethod\n    def execute(self) -> None: pass\n\nclass SimpleCommand(Command): pass\nclass Receiver: pass"
"एक Interpreter डिजाइन पैटर्न का कॉन्सेप्ट","// A behavioral design pattern that specifies how to evaluate sentences in a language. The basic idea is to have a class for each symbol (terminal or nonterminal) in a specialized computer language."
"एक Iterator डिजाइन पैटर्न का इम्प्लीमेंटेशन","class MyIterator:\n    def __init__(self, data):\n        self._index = 0\n        self._data = data\n    def __iter__(self): return self\n    def __next__(self):\n        if self._index >= len(self._data):\n            raise StopIteration\n        result = self._data[self._index]\n        self._index += 1\n        return result"
"एक Mediator डिजाइन पैटर्न का ढाँचा","class Mediator: pass\nclass BaseComponent:\n    def __init__(self, mediator: Mediator = None):\n        self._mediator = mediator\n    @property\n    def mediator(self) -> Mediator: return self._mediator\n    @mediator.setter\n    def mediator(self, mediator: Mediator) -> None: self._mediator = mediator"
"एक Memento डिजाइन पैटर्न का ढाँचा","import copy\nclass Memento:\n    def __init__(self, state): self._state = copy.deepcopy(state)\n    def get_state(self): return self._state\n\nclass Originator:\n    _state = ''\n    def create_memento(self) -> Memento: return Memento(self._state)\n    def restore_memento(self, memento: Memento): self._state = memento.get_state()"
"एक Observer डिजाइन पैटर्न का इम्प्लीमेंटेशन","class Subject:\n    def __init__(self):\n        self._observers = []\n    def attach(self, observer):\n        self._observers.append(observer)\n    def notify(self, message: str):\n        for observer in self._observers:\n            observer.update(message)\n\nclass Observer:\n    def update(self, message): pass"
"एक State डिजाइन पैटर्न का ढाँचा","from abc import ABC, abstractmethod\nclass State(ABC):\n    @abstractmethod\n    def handle_request(self) -> None: pass\n\nclass ConcreteStateA(State): pass\nclass Context:\n    _state = None\n    def __init__(self, state: State): self.transition_to(state)"
"एक Strategy डिजाइन पैटर्न का इम्प्लीमेंटेशन","from abc import ABC, abstractmethod\nclass SortStrategy(ABC): pass\nclass QuickSort(SortStrategy): pass\nclass BubbleSort(SortStrategy): pass\nclass Sorter:\n    def __init__(self, strategy: SortStrategy): self._strategy = strategy"
"एक Template Method डिजाइन पैटर्न का ढाँचा","from abc import ABC, abstractmethod\nclass AbstractClass(ABC):\n    def template_method(self) -> None:\n        self.base_operation1()\n        self.required_operation1()\n        self.hook1()\n    @abstractmethod\n    def required_operation1(self) -> None: pass\n    def hook1(self) -> None: pass"
"एक Visitor डिजाइन पैटर्न का ढाँचा","class Visitor: pass\nclass Element: \n    def accept(self, visitor: Visitor) -> None: pass\n\nclass ConcreteElementA(Element): pass"
"MVC (Model-View-Controller) आर्किटेक्चर का कॉन्सेप्ट","// An architectural pattern that separates an application into three main logical components: the Model (handles data and business logic), the View (handles the UI and presentation), and the Controller (handles user input and coordinates between Model and View)."
"MVP (Model-View-Presenter) आर्किटेक्चर का कॉन्सेप्ट","// A derivation of the MVC pattern where the Presenter assumes the functionality of the 'middle-man'. The Presenter handles all UI events on behalf of the View and updates the Model."
"MVVM (Model-View-ViewModel) आर्किटेक्चर का कॉन्सेप्ट","// An architectural pattern that facilitates a separation of the UI (the View) from the business logic (the Model) via a ViewModel, which acts as a data binder and command handler."
"मोनोलिथिक (Monolithic) आर्किटेक्चर का कॉन्सेप्ट","// A software application architecture in which a logically distinguishable application is built as a single, indivisible unit. All components are tightly coupled and run as a single service."
"माइक्रोसर्विसेज (Microservices) आर्किटेक्चर का कॉन्सेप्ट","// An architectural style that structures an application as a collection of loosely coupled, independently deployable services, where each service represents a specific business capability."
"इवेंट-ड्रिवन (Event-Driven) आर्किटेक्चर का कॉन्सेप्ट","// A software architecture paradigm promoting the production, detection, consumption of, and reaction to events. This pattern enables minimum coupling, making it a good option for modern, distributed applications."
"CQRS (Command Query Responsibility Segregation) का कॉन्सेप्ट","// A pattern that separates read (Query) and update (Command) operations for a data store. Commands are processed by one set of models and infrastructure, while Queries are handled by another."
"एक API Gateway डिजाइन पैटर्न","// A design pattern where a server acts as the single entry point for a group of microservices. It handles tasks like routing, authentication, rate limiting, and request aggregation."
"एक Circuit Breaker डिजाइन पैटर्न","// A design pattern used in modern software development to detect failures and encapsulate the logic of preventing a failure from constantly recurring, allowing a failing service to recover."
"एक Service Discovery पैटर्न","// The process of automatically detecting devices and services on a network. It's a core component of microservices architecture, allowing services to find and communicate with each other dynamically."
"एक Pub/Sub (Publish-Subscribe) पैटर्न","// A messaging pattern where senders of messages (publishers) do not programmatically send their messages to specific receivers (subscribers). Instead, they publish messages to a topic, and subscribers receive messages from topics they are subscribed to."
"एक Repository पैटर्न का ढाँचा","class AbstractRepository(ABC):\n    @abstractmethod\n    def add(self, entity): pass\n    @abstractmethod\n    def get(self, entity_id): pass\n\nclass SqlAlchemyUserRepository(AbstractRepository): pass"
"एक Unit of Work पैटर्न का कॉन्सेप्ट","// A pattern that maintains a list of objects affected by a business transaction and coordinates the writing out of changes and the resolution of concurrency problems."
"एक Dependency Injection (DI) का कॉन्सेप्ट","// A design pattern in which an object or function receives other objects or functions that it depends on (its dependencies), rather than creating them internally."
"Inversion of Control (IoC) का कॉन्सेप्ट","// A programming principle where custom-written portions of a computer program receive the flow of control from a generic, reusable framework. A framework with a Dependency Injection container is an example."
"SOLID सिद्धांत: Single Responsibility Principle (SRP)","// A class, module, or function should have one, and only one, reason to change. It should be responsible for a single part of the application's functionality."
"SOLID सिद्धांत: Open/Closed Principle (OCP)","// Software entities (classes, modules, functions, etc.) should be open for extension, but closed for modification."
"SOLID सिद्धांत: Liskov Substitution Principle (LSP)","// Subtypes must be substitutable for their base types. Objects of a superclass shall be replaceable with objects of its subclasses without breaking the application."
"SOLID सिद्धांत: Interface Segregation Principle (ISP)","// No client should be forced to depend on methods it does not use. It's better to have many smaller, client-specific interfaces than one large, general-purpose one."
"SOLID सिद्धांत: Dependency Inversion Principle (DIP)","// High-level modules should not depend on low-level modules. Both should depend on abstractions (e.g., interfaces). Abstractions should not depend on details."
"DRY (Don't Repeat Yourself) सिद्धांत","// A principle of software development aimed at reducing repetition of information of all kinds, especially in systems with many layers. 'Every piece of knowledge must have a single, unambiguous, authoritative representation within a system.'"
"KISS (Keep It Simple, Stupid) सिद्धांत","// A design principle that states that most systems work best if they are kept simple rather than made complicated; therefore, simplicity should be a key goal in design and unnecessary complexity should be avoided."
"YAGNI (You Ain't Gonna Need It) सिद्धांत","// A principle of extreme programming (XP) that states a programmer should not add functionality until deemed necessary. 'Always implement things when you actually need them, never when you just foresee that you need them.'"
"Domain-Driven Design (DDD) का कॉन्सेप्ट","// A major software design approach, focusing on modeling software to match a real-world system or domain, according to input from that domain's experts. It's about creating a common, ubiquitous language between developers and users."
"Chart.js लाइब्रेरी को HTML में शामिल करो","<script src='https://cdn.jsdelivr.net/npm/chart.js'></script>"
"एक बार चार्ट (bar chart) बनाने के लिए एक कैनवास एलिमेंट बनाओ","<div style='width: 400px;'><canvas id='myBarChart'></canvas></div>"
"Chart.js का उपयोग करके एक सिंपल बार चार्ट बनाओ","<canvas id='c1'></canvas><script>new Chart(document.getElementById('c1'),{type:'bar',data:{labels:['January','February'], datasets:[{label:'Monthly Sales', data:[65, 59]}]}});</script>"
"Chart.js का उपयोग करके एक सिंपल लाइन चार्ट बनाओ","<canvas id='c2'></canvas><script>new Chart(document.getElementById('c2'),{type:'line',data:{labels:['Day 1','Day 2'], datasets:[{label:'Website Traffic', data:[100,150], fill:false, borderColor:'rgb(75, 192, 192)'}]}});</script>"
"Chart.js का उपयोग करके एक सिंपल पाई चार्ट बनाओ","<canvas id='c3'></canvas><script>new Chart(document.getElementById('c3'),{type:'pie',data:{labels:['Red','Blue','Yellow'], datasets:[{data:[300,50,100], backgroundColor:['Red','Blue','Yellow']}]}});</script>"
"Chart.js का उपयोग करके एक डोनट चार्ट (doughnut chart) बनाओ","<canvas id='c4'></canvas><script>new Chart(document.getElementById('c4'),{type:'doughnut',data:{...}});</script>"
"Chart.js का उपयोग करके एक रडार चार्ट (radar chart) बनाओ","<canvas id='c5'></canvas><script>new Chart(document.getElementById('c5'),{type:'radar',data:{labels:['Coding','Eating','Sleeping'], datasets:[{label:'My Skills', data:[9,7,8]}]}});</script>"
"Chart.js का उपयोग करके एक पोलर एरिया चार्ट (polar area chart) बनाओ","<canvas id='c6'></canvas><script>new Chart(document.getElementById('c6'),{type:'polarArea',data:{...}});</script>"
"एक चार्ट में टाइटल जोड़ो","options: { plugins: { title: { display: true, text: 'Custom Chart Title' } } }"
"एक चार्ट में लीजेंड (legend) को छिपाओ","options: { plugins: { legend: { display: false } } }"
"एक बार चार्ट के बार्स का रंग बदलो","datasets: [{ label: 'Data', data: [12, 19], backgroundColor: ['rgba(255, 99, 132, 0.2)', 'rgba(54, 162, 235, 0.2)'] }]"
"एक लाइन चार्ट की लाइन का रंग और मोटाई बदलो","datasets: [{ label: 'Data', data: [10, 20], borderColor: 'green', borderWidth: 3 }]"
"AJAX का उपयोग करके एक चार्ट का डेटा डायनामिक रूप से लोड करो","<script>fetch('/api/chart-data').then(res => res.json()).then(chartData => { new Chart(..., { data: chartData }); });</script>"
"एक बटन क्लिक पर चार्ट को अपडेट करो","<script>myChart.data.datasets[0].data = [50, 60, 70]; myChart.update();</script>"
"D3.js लाइब्रेरी को HTML में शामिल करो","<script src='https://d3js.org/d3.v7.min.js'></script>"
"D3.js का उपयोग करके एक सिंपल SVG एलिमेंट बनाओ","<div id='d3-container'></div><script>const svg = d3.select('#d3-container').append('svg').attr('width', 200).attr('height', 100);</script>"
"D3.js का उपयोग करके एक सर्किल बनाओ","<script>/*...after creating svg...*/ svg.append('circle').attr('cx', 50).attr('cy', 50).attr('r', 40).style('fill', 'blue');</script>"
"D3.js का उपयोग करके एक रेक्टेंगल बनाओ","<script>/*...after creating svg...*/ svg.append('rect').attr('x', 10).attr('y', 10).attr('width', 80).attr('height', 80).style('fill','green');</script>"
"D3.js में डेटा के आधार पर कई बार्स बनाओ","<script>const data=[10, 40, 32, 68]; const svg = d3.select('svg'); svg.selectAll('rect').data(data).enter().append('rect').attr('height', d=>d);</script>"
"D3.js में एक लीनियर स्केल (scale) बनाओ","<script>const xScale = d3.scaleLinear().domain([0, 100]).range([0, 500]);</script>"
"D3.js में एक एक्सिस (axis) बनाओ","<script>const xAxis = d3.axisBottom(xScale); svg.append('g').attr('transform', 'translate(0, 100)').call(xAxis);</script>"
"D3.js में एक ट्रांजीशन (transition) का उपयोग करो","<script>d3.select('circle').transition().duration(1000).attr('r', 10).style('fill', 'red');</script>"
"D3.js में एक माउसओवर इवेंट जोड़ो","<script>d3.selectAll('rect').on('mouseover', function(){ d3.select(this).style('fill', 'orange'); }).on('mouseout', function(){ d3.select(this).style('fill', 'green'); });</script>"
"D3.js का उपयोग करके एक CSV फाइल लोड करो","<script>d3.csv('my_data.csv').then(function(data) { console.log(data[0]); });</script>"
"D3.js का उपयोग करके एक JSON फाइल लोड करो","<script>d3.json('my_data.json').then(function(data) { console.log(data); });</script>"
"Chart.js में एक हॉरिजॉन्टल बार चार्ट बनाओ","<script>new Chart(ctx, {type:'bar', data: data, options: { indexAxis: 'y' }});</script>"
"Chart.js में एक स्टैक्ड बार चार्ट (stacked bar chart) बनाओ","<script>new Chart(ctx, {type:'bar', data: data, options: { scales: { x: { stacked: true }, y: { stacked: true } } }});</script>"
"Chart.js में एक बबल चार्ट (bubble chart) बनाओ","<script>new Chart(ctx, {type:'bubble', data: { datasets: [{label:'My Data', data:[{x:10,y:20,r:15}, {x:15,y:10,r:25}]}] }});</script>"
"Chart.js में एक स्कैटर चार्ट (scatter chart) बनाओ","<script>new Chart(ctx, {type:'scatter', data: { datasets: [{label:'Scatter Data', data:[{x:1,y:2},{x:3,y:4},{x:2,y:5}]}] }});</script>"
"एक चार्ट के टूलटिप्स (tooltips) को कस्टमाइज करो","options: { plugins: { tooltip: { callbacks: { label: function(context){ return `Value: ${context.parsed.y}`; } } } } }"
"एक चार्ट के एक्सिस लेबल्स को बदलो","options: { scales: { y: { title: { display: true, text: 'Total Sales ($)' } } } }"
"D3.js में एक पाई चार्ट का लेआउट बनाओ","<script>const pieGenerator = d3.pie(); const data_ready_for_pie = pieGenerator([10,20,30]);</script>"
"D3.js में एक आर्क (arc) जेनरेटर बनाओ","<script>const arcGenerator = d3.arc().innerRadius(50).outerRadius(100);</script>"
"D3.js में एक फोर्स-डायरेक्टेड ग्राफ (force-directed graph) का ढाँचा","<script>const simulation = d3.forceSimulation(nodes).force('link', d3.forceLink(links).id(d => d.id)).force('charge', d3.forceManyBody());</script>"
"एक मैप (जैसे भारत का) बनाने के लिए TopoJSON और D3.js का उपयोग करो","<script>d3.json('india_topo.json').then(function(topology) { const geojson = topojson.feature(topology, topology.objects.india); /* draw map with d3.geoPath() */ });</script>"
"Google Charts का उपयोग करके एक गेज चार्ट (gauge chart) बनाओ","<script type='text/javascript' src='https://www.gstatic.com/charts/loader.js'></script><script>google.charts.load('current', {'packages':['gauge']}); google.charts.setOnLoadCallback(drawChart); function drawChart(){...}</script>"
"Highcharts का उपयोग करके एक 3D कॉलम चार्ट बनाओ","<script src='https://code.highcharts.com/highcharts.js'></script><script src='https://code.highcharts.com/highcharts-3d.js'></script><div id='container'></div><script>Highcharts.chart('container', {chart:{type:'column', options3d:{enabled:true}}, ...});</script>"
"Leaflet.js का उपयोग करके एक इंटरैक्टिव मैप बनाओ","<link rel='stylesheet' href='https://unpkg.com/leaflet/dist/leaflet.css' /><script src='https://unpkg.com/leaflet/dist/leaflet.js'></script><div id='mapid' style='height: 200px;'></div><script>var mymap = L.map('mapid').setView([26.84, 80.94], 13); L.marker([26.84, 80.94]).addTo(mymap);</script>"
"एक Flask API बनाओ जो चार्ट के लिए डायनामिक डेटा लौटाए","@app.route('/api/monthly-sales')\ndef monthly_sales_data():\n    data = {'labels':['Jan','Feb'], 'values':[100,120]}\n    return jsonify(data)"
"Chart.js में एक मिक्सड-टाइप (mixed-type) चार्ट बनाओ (बार और लाइन)","<script>new Chart(ctx, {data: {datasets:[{type:'bar', label:'Bar Data', data:[10,20]},{type:'line', label:'Line Data', data:[15,15]}]}})</script>"
